dataset,c1,c2,c3,c4,l1,l2,s1,s2,s3,l3,s4,t2
Syn_Reg_quad_4f,0.0729496994411049,0.05524950277225302,0.9466666666666667,0.45666666666666667,0.11227839242669949,0.021364631593208644,0.07113995773916573,0.432129225187982,0.010159788009578471,0.020251858385020867,0.01321193686332924,75.0
Syn_Reg_quad_6f,0.1134874831942577,0.04951277236413738,0.9466666666666667,0.4766666666666667,0.13531965359172232,0.030468146584005082,0.11337019757853563,0.5719148825491002,0.023722543455322653,0.02932768337221911,0.02561958891657975,50.0
Syn_Reg_quad_8f,0.12543209645060283,0.05481240507753174,0.9225,0.365,0.11805053794192977,0.02368402512878249,0.13322730090064688,0.6375121366625882,0.02773100045471226,0.022682603975931137,0.022665349669346378,50.0
Syn_Reg_quad_highdim,0.11503703148144674,0.046983496771854816,0.8875,0.4475,0.13468837587258442,0.029459670803707948,0.16459487424237446,0.8072420785365884,0.04268015134570899,0.02829146421669526,0.030755897390165116,33.333333333333336
Syn_Reg_quad_lownoise,0.09647529416993522,0.04158475834916684,0.8966666666666666,0.4766666666666667,0.123212574285172,0.0274346360808679,0.04793256686182916,0.35016456814958263,0.00646121755152936,0.026162759532788342,0.01448894155658125,100.0
Syn_Reg_quad_noise,0.04722319136879298,0.04047704233750745,0.9333333333333333,0.4266666666666667,0.12126013253635655,0.025771482716117722,0.1488927824835299,0.37030003651048293,0.036022125051082925,0.024753562213694444,0.02088958725758307,100.0
Syn_Reg_sin_1f,0.35430527005855617,0.1419957999533328,0.82,0.7233333333333334,0.25931262415622003,0.09049946613291643,0.16084038222850874,0.6564146908351894,0.031924097343867135,0.08601126189126995,0.08547024465873505,100.0
Syn_Reg_sin_2f,0.3385299836664852,0.2015706841187124,0.7733333333333333,0.47,0.17893452372963872,0.04742030318453131,0.1847590588449032,0.7933089440350737,0.0419036873717952,0.043245177785234304,0.03792497255533867,75.0
Syn_Reg_sin_3f_clean,0.2776995299947777,0.270253965784805,0.7966666666666666,0.4,0.15699374470131047,0.036791525134116924,0.12097434243375005,0.6452820857547407,0.016912341841659646,0.03302910178008073,0.03281531163415209,100.0
Syn_Reg_sin_highdim,0.24073669210432566,0.07191007443796524,0.84,0.375,0.13281619758675817,0.027099532373604136,0.1992574987289281,1.5555595521980694,0.061333140214854615,0.02549325339538245,0.022948815551318686,26.666666666666668
Syn_Reg_sin_highfreq,0.33803531150346117,0.2524844720496894,0.7166666666666667,0.32,0.1371665254583741,0.03073125476608785,0.14736349856444042,0.7740270261889534,0.02951233762915244,0.02760256854877377,0.02657488996888475,75.0
Syn_Reg_sin_noise,0.2949454993944377,0.17351792797697752,0.7933333333333333,0.4066666666666667,0.13068602517424907,0.027030550906528117,0.17150086810498663,0.8005385026842191,0.03724172774959657,0.025024440346034717,0.02426646073503273,75.0
Syn_Reg_small_n50,0.5852100840336134,0.43214885954381754,0.44,0.22,0.0009621701635688303,1.3981636974911507e-06,0.14044878285410034,0.4742175860108887,0.01998689879606292,8.770254350789968e-07,0.008003153853597126,12.5
Syn_Reg_sparse_10inf,0.6291247680529783,0.15257138412649032,0.44333333333333336,0.07333333333333333,0.000520095212770092,4.1423599692210237e-07,0.15070902686604845,1.0648706450408416,0.03368506551978931,2.7964536201469756e-07,0.010159580475703292,15.0
Syn_Reg_sparse_1inf,0.9999399993333259,0.15691872131912576,-0.5,0.0,0.0009015050252878132,1.26869042299938e-06,0.0950961026761977,0.6966007005799507,0.013528633720421516,8.987660759926186e-07,0.004756936892297158,30.0
